NYSC Observatory                         ,     34.53320 ,           127.46750, +9
Mt. Lemmon Observatory                   ,     32.44111 ,          -110.79000, -7
Bohyunsan Optical Astronomy Observatory  ,     36.16667 ,           128.98334, +9
Sobaeksan Optical Astronomy Observatory  ,     36.93333 ,           128.38571, +9
Seoul Natl Univ. Observatory             ,     37.45417 ,           126.95528, +9
Cerro Tololo Inter-American Observatory  ,    -30.16528 ,           -70.81500, -4
 
